Selectable 	Probability 	Area(Height*Width)
<html>?</html>	16.5111293	68.352	
E	10.7659004	30.438	
T	8.6279489	56.96	
A	7.0678221	26.676	
O	6.5807984	24.804	
I	5.8378809	37.38	
N	5.5902417	28.044	
S	5.1775098	41.778	
R	5.012417	30.504	
H	4.3603005	26.522	
L	3.1221045999999997	7.952	
D	2.8001736999999998	12.654	
U	2.3874416999999997	9.869	
C	2.3048954	10.323	
F	2.0572562	16.376	
M	2.0572562	11.857	
G	1.6445241999999998	10.989	
W	1.6445241999999998	12.496	
Y	1.6445241999999998	13.706	
P	1.2317923	2.881	
B	1.1492459	3.612	
V	0.7612778	3.752	
DIGIT	0.5672938	4.3	
K	0.3485459	4.02	
X	0.1421799	4.558	
J	0.10916129999999999	4.876	
Q	0.1009067	1.935	
Z	0.0678882	2.352	
,	0.0670627	2.479	
.	0.06623720000000001	2.881	
?	0.06541179999999999	2.64	
'	0.0645863	3.01	
¶	0.0637608	3.312	
