Selectable 	Probability 	Area(Height*Width)
<html>?</html>	0.165111293	0.12780762	
E	0.107659004	0.057077408	
T	0.086279489	0.10620117	
A	0.070678221	0.051023483	
O	0.065807984	0.044937134	
I	0.058378809	0.06770325	
N	0.055902417	0.058654785	
S	0.051775098	0.07881546	
R	0.05012417	0.056516647	
H	0.043603005	0.049734116	
L	0.031221046	0.04844284	
U	0.023874417	0.023077011	
C	0.023048954	0.019741058	
F	0.020572562	0.01871109	
M	0.020572562	0.02986908	
G	0.016445242	0.02276802	
W	0.016445242	0.020166397	
Y	0.016445242	0.023426056	
P	0.012317923	0.018672943	
B	0.011492459	0.0051612854	
V	0.007612778	0.008554459	
DIGIT	0.005672938	0.0063285828	
K	0.003485459	0.0070381165	
X	0.001421799	0.0066947937	
J	0.001091613	0.008331299	
Q	0.001009067	0.0071907043	
Z	6.78882E-4	0.0035247803	
,	6.70627E-4	0.0041656494	
.	6.62372E-4	0.0048065186	
?	6.54118E-4	0.004463196	
'	6.45863E-4	0.0055274963	
¶	6.37608E-4	0.0048675537	
