Selectable 	Probability 	Area(Height*Width)
<html>?</html>	16.5111293	67.008	
E	10.7659004	29.925	
T	8.6279489	55.68	
A	7.0678221	26.751	
O	6.5807984	23.56	
I	5.8378809	35.496	
N	5.5902417	30.752	
S	5.1775098	41.322	
R	5.012417	29.631	
H	4.3603005	26.075	
L	3.1221045999999997	25.398	
U	2.3874416999999997	12.099	
C	2.3048954	10.35	
F	2.0572562	9.81	
M	2.0572562	15.66	
G	1.6445241999999998	11.937	
W	1.6445241999999998	10.573	
Y	1.6445241999999998	12.282	
P	1.2317923	9.79	
B	1.1492459	2.706	
V	0.7612778	4.485	
DIGIT	0.5672938	3.318	
K	0.3485459	3.69	
X	0.1421799	3.51	
J	0.10916129999999999	4.368	
Q	0.1009067	3.77	
Z	0.0678882	1.848	
,	0.0670627	2.184	
.	0.06623720000000001	2.52	
?	0.06541179999999999	2.34	
'	0.0645863	2.898	
¶	0.0637608	2.552	
