Selectable 	Probability 	Area(Height*Width)
<html>?</html>	16.5111293	131.072	
E	10.7659004	32.768	
T	8.6279489	65.536	
A	7.0678221	4.352	
O	6.5807984	13.12	
I	5.8378809	13.12	
N	5.5902417	13.12	
S	5.1775098	13.12	
R	5.012417	16.384	
H	4.3603005	32.768	
L	3.1221045999999997	4.352	
D	2.8001736999999998	4.352	
U	2.3874416999999997	4.352	
C	2.3048954	4.352	
F	2.0572562	4.352	
M	2.0572562	4.352	
G	1.6445241999999998	13.12	
W	1.6445241999999998	13.12	
Y	1.6445241999999998	16.384	
P	1.2317923	4.416	
B	1.1492459	4.416	
V	0.7612778	4.416	
DIGIT	0.5672938	4.416	
K	0.3485459	13.12	
X	0.1421799	13.12	
J	0.10916129999999999	16.384	
Q	0.1009067	4.352	
Z	0.0678882	4.352	
,	0.0670627	4.352	
.	0.06623720000000001	4.352	
?	0.06541179999999999	13.056	
'	0.0645863	13.056	
¶	0.0637608	16.384	
