Selectable 	Probability 	Area(Height*Width)
<html>?</html>	16.5111293	58.311	
E	10.7659004	51.813	
T	8.6279489	38.988	
A	7.0678221	34.15	
O	6.5807984	12.996	
I	5.8378809	25.916	
N	5.5902417	12.996	
S	5.1775098	12.996	
R	5.012417	12.996	
H	4.3603005	25.992	
L	3.1221045999999997	10.184	
D	2.8001736999999998	15.276	
U	2.3874416999999997	7.638	
C	2.3048954	15.47	
F	2.0572562	11.594	
M	2.0572562	5.7	
G	1.6445241999999998	12.996	
W	1.6445241999999998	12.996	
Y	1.6445241999999998	12.996	
P	1.2317923	13.534	
B	1.1492459	7.638	
V	0.7612778	3.876	
DIGIT	0.5672938	5.7	
K	0.3485459	17.252	
X	0.1421799	12.996	
J	0.10916129999999999	12.996	
Q	0.1009067	6.767	
Z	0.0678882	7.571	
,	0.0670627	3.876	
.	0.06623720000000001	5.65	
?	0.06541179999999999	8.664	
'	0.0645863	12.882	
¶	0.0637608	12.882	
