Selectable 	Probability 	Area(Height*Width)
<html>?</html>	16.5092782143565	6.016	
E	10.7640493957604	6.016	
T	8.626097867001251	6.016	
A	7.065971075744571	6.016	
O	6.5789473684210495	5.888	
I	5.83602984877501	5.888	
N	5.58839067555966	6.016	
S	5.17565872020075	6.016	
R	5.01056593805719	6.016	
H	4.35844944859011	5.888	
L	3.12025358251337	5.888	
D	2.79832265733342	5.888	
U	2.38559070197451	6.016	
C	2.30304431090273	6.016	
F	2.05540513768738	6.016	
M	2.05540513768738	5.888	
G	1.6426731823284701	48.128	
W	1.6426731823284701	47.104	
Y	1.6426731823284701	48.128	
P	1.22994122696956	6.016	
B	1.14739483589777	6.016	
V	0.759426797860398	6.016	
K	0.346694842501486	6.016	
X	0.14032886482203	6.016	
J	0.10731030839331701	5.888	
Q	0.09905566928613879	5.888	
Z	0.0660371128574259	5.888	
,	0.065211648946708	5.888	
.	0.0643861850359902	5.888	
?	0.0635607211252724	5.888	
'	0.0627352572145546	5.888	
¶	0.0619097933038368	5.888	
DEL	0.0610843293931189	5.888	
1	0.0602588654824011	5.888	
2	0.059433401571683295	6.016	
3	0.0586079376609655	6.016	
4	0.0577824737502476	5.888	
5	0.0569570098395298	5.888	
6	0.056131545928812	5.888	
7	0.0553060820180942	5.888	
8	0.0544806181073763	5.888	
9	0.053655154196658505	5.888	
0	0.05282969028594069	6.016	
	0.0	6.016	
	0.0	6.016	
	0.0	6.016	
	0.0	6.016	
	0.0	6.016	
	0.0	6.016	
	0.0	5.888	
	0.0	5.888	
	0.0	5.888	
	0.0	5.888	
	0.0	5.888	
	0.0	5.888	
	0.0	5.888	
	0.0	5.888	
	0.0	5.888	
	0.0	5.888	
	0.0	6.016	
	0.0	6.016	
	0.0	6.016	
	0.0	6.016	
	0.0	6.016	
	0.0	6.016	
	0.0	6.016	
	0.0	6.016	
